year,session,name,goals,assists
2011,1,Tyler Anderson,7 goals,
2013,1,Kolin Campbell,11 goals,
2014,1,Brian Acker,9 goals,5 assists
2014,1,Brian Gannon,9 goals,1 assist
2014,2,Brian Acker,10 goals,
2015,1,Pat O'Malley,5 goals,1 assist
2015,2,Mike Kelly,8 goals,5 assists
2015,2,Brian Acker,8 goals,1 assist
2016,1,Meagan Elliott,6 goals,
2017,1,Meagan Elliott,11 goals,1 assist
2017,2,Meagan Elliott,7 goals,1 assist
2018,1,Haley Elliott,7 goals,
2018,2,Meagan Elliott,7 goals,3 assists
2018,3,Meagan Elliott,10 goals,3 assists
2019,1,Joe Vitullo,7 goals,2 assists
